Row,NoServo,ServoInLoop
CAP,0.392262,0.480709286263002
zeta,0.5,0.312775244128208
Gibson 1 - qm/qs,1.41251081523683,1.6941600085015
Gibson 1 - DB/qs,0.0389115517534944,0.0307770212660102
Gibson 2 - XOver,NaN,1.72843072925375
Gibson 2 - Phase Rate,NaN,-82.2014865956694
Gust max el,-3.07496297455213,-3.89085365901283
