x_a,Zero1,Zero2,Zero3,Zero4
0,9.75967822849014+0i,-5.39251395654522+0i,0.00938954406003866,-0.00591863747569247
5,40.6734209788593+0i,-8.48733397725851+0i,0.00938832131479251,-0.00591851087247067
5.9,-67141.5466394019+0i,-10.5188393720582+0i,0.00938810128322376,-0.00591848808421376
6,-283.718095280118+0i,-10.8976525736565+0i,0.00938807683644545,-0.00591848555216992
7,-13.7349248887159+-9.67273525913724i,-13.7349248887159+9.67273525913724i,0.00938783238166541,-0.00591846023200329
15,-1.9411834933446+-5.51047751383742i,-1.9411834933446+5.51047751383742i,0.00938587759101131,-0.00591825767482062
